f,c,asset
62086,65535,Aurora borealis sky.png
58636,62085,Big clouds.png
55186,58635,City scape WIP.png
51736,55185,Comet sky.png
48286,51735,Desert sky.png
44836,48285,Floating islands WIP.png
41386,44835,Great wave.png
37936,41385,Islands sky.png
34486,37935,Japanese pagoda.png
31036,34485,Mountains sky.png
27586,31035,Night sky.png
24136,27585,Pine forest.png
20686,24135,Rainbow sky.png
17236,20685,Sky serpent.png
13786,17235,Spiky ridge.png
10336,13785,Sunny sky.png
6886,10335,Sunset sky WIP 2.png
3436,6885,Volcano sky fixed.png
1,3435,Zelda moon.png
