f,c,asset
61680,65535,Arctic.png
57824,61679,Cloud world.png
53968,57823,Cottage hill.png
50112,53967,Dangerous cliff.png
46256,50111,Dark crevice.png
42400,46255,Dry desert cleaned.png
38544,42399,Gem fields.png
34688,38543,Golf course.png
30832,34687,Grassy knoll with ducks.png
26976,30831,Lonely islands WIP cleaned.png
23120,26975,Moonscape.png
19264,23119,Pantheon.png
15408,19263,Pyramid stone.png
11552,15407,Rocky road.png
7696,11551,Shroomland fix.png
3840,7695,Shroomland.png
1,3839,Treetops.png
